target,n,T,alpha,kernel,gap,ess_per_step,ess_per_step_se,ess_per_sec,accept_rate,split_rhat,gated_out,D3_width
chain,6,0.3,0.5,walk_g3,1.2894013517117386e-05,0.002091369765789415,0.000664889964412525,295.27143615149834,0.9684799999999999,2.1243923282512815,True,10.241932316991697
chain,6,0.3,0.5,walk_g10,2.7996871128088685e-06,0.0013983123620125147,0.0009494948833108724,205.33579563640848,0.990092,1.801432545424084,True,10.241932316991697
chain,6,1.0,0.05,single_flip,nan,0.016852751638322058,0.0012422382716152016,2886.5681345669404,0.14119600000000002,1.0009242984025553,False,15.234327978711748
chain,6,1.0,0.05,uniform,nan,0.03439179688297099,0.0011542201162268557,5598.760280723402,0.076008,1.000942910101431,False,15.234327978711748
chain,6,1.0,0.05,walk_g0,6.149312996328593e-05,0.00024633901437413045,6.832178986084163e-05,38.01492105844081,0.9982279999999999,1.398796784801832,True,15.234327978711748
chain,6,1.0,0.05,walk_g0.03,5.25867965617266e-05,0.0002740973366885326,7.321386101611907e-05,41.77252231140541,0.998376,1.5990907190239299,True,15.234327978711748
chain,6,1.0,0.05,walk_g0.1,3.8498053782531905e-05,0.00019521918242152735,2.953151190253473e-05,29.136870931118427,0.998572,1.1843505928435991,True,15.234327978711748
chain,6,1.0,0.05,walk_g0.3,2.0791535559006036e-05,0.00025899251164842555,0.00013581514659221538,39.15623573801179,0.999072,1.3121240355133703,True,15.234327978711748
chain,6,1.0,0.05,walk_g1,7.613546140983196e-06,0.00013466626526349926,4.3623839330729646e-05,20.486340692303195,0.99964,1.6563966671725607,True,15.234327978711748
chain,6,1.0,0.05,walk_g3,2.6763304040722247e-06,0.4000726093407458,0.21906251129564364,60531.83267631133,0.999888,1.4965867587749546,True,15.234327978711748
chain,6,1.0,0.05,walk_g10,8.169370694366407e-07,0.4000593788326204,0.21906734138229988,60174.92258835981,0.9999559999999998,2.381957451213875,True,15.234327978711748
chain,6,1.0,0.15,single_flip,nan,0.016852751638322058,0.0012422382716152016,2780.3706672388885,0.14119600000000002,1.0009242984025553,False,13.772466777311575
chain,6,1.0,0.15,uniform,nan,0.03439179688297099,0.0011542201162268557,5674.467029946317,0.076008,1.000942910101431,False,13.772466777311575
chain,6,1.0,0.15,walk_g0,0.0007020427437121057,0.0007885107478783106,0.00011885143864972454,118.83126611373443,0.9799519999999999,1.0243988930908026,False,13.772466777311575
